0, 0
0.0314159, 0.094178
0.0628319, 0.18752
0.0942478, 0.279198
0.125664, 0.368397
0.15708, 0.454327
0.188496, 0.536224
0.219911, 0.613361
0.251327, 0.685054
0.282743, 0.750667
0.314159, 0.809616
0.345575, 0.861379
0.376991, 0.905497
0.408407, 0.941578
0.439823, 0.9693
0.471239, 0.98842
0.502655, 0.998766
0.534071, 1.00025
0.565487, 0.992849
0.596903, 0.976639
0.628319, 0.951761
0.659734, 0.918434
0.69115, 0.876956
0.722566, 0.827693
0.753982, 0.771084
0.785398, 0.70763
0.816814, 0.637896
0.84823, 0.5625
0.879646, 0.48211
0.911062, 0.397442
0.942478, 0.309246
0.973894, 0.218305
1.00531, 0.125426
1.03673, 0.031434
1.06814, -0.062837
1.09956, -0.15655
1.13097, -0.248874
1.16239, -0.338989
1.19381, -0.426095
1.22522, -0.509418
1.25664, -0.588221
1.28805, -0.661802
1.31947, -0.729508
1.35088, -0.79074
1.3823, -0.844953
1.41372, -0.891666
1.44513, -0.930465
1.47655, -0.961005
1.50796, -0.983015
1.53938, -0.996299
1.5708, -1.00074
1.60221, -0.996299
1.63363, -0.983015
1.66504, -0.961005
1.69646, -0.930465
1.72788, -0.891666
1.75929, -0.844953
1.79071, -0.79074
1.82212, -0.729508
1.85354, -0.661802
1.88496, -0.588221
1.91637, -0.509418
1.94779, -0.426095
1.9792, -0.338989
2.01062, -0.248874
2.04204, -0.15655
2.07345, -0.062837
2.10487, 0.031434
2.13628, 0.125426
2.1677, 0.218305
2.19911, 0.309246
2.23053, 0.397442
2.26195, 0.48211
2.29336, 0.5625
2.32478, 0.637896
2.35619, 0.70763
2.38761, 0.771084
2.41903, 0.827693
2.45044, 0.876956
2.48186, 0.918434
2.51327, 0.951761
2.54469, 0.976639
2.57611, 0.992849
2.60752, 1.00025
2.63894, 0.998766
2.67035, 0.98842
2.70177, 0.9693
2.73319, 0.941578
2.7646, 0.905497
2.79602, 0.861379
2.82743, 0.809616
2.85885, 0.750667
2.89027, 0.685054
2.92168, 0.613361
2.9531, 0.536224
2.98451, 0.454327
3.01593, 0.368397
3.04734, 0.279198
3.07876, 0.18752
3.11018, 0.094178
3.14159, 1.39515e-014
